"% GICC05-U/Th timescale difference from Adolphi et al. (2018) CPD, figure 12"					
"% The time scale differences are given in: dt = U/Th-GICC05, (yrs)"					
%					
% correspondence to: Florian.Adolphi@geol.lu.se					
					
yrBP (1950)	dt (yrs)	CI68_lo	CI68_up	CI95_lo	CI95_up
11000	-60	-67	-51	-77	-42
11050	-58	-65	-49	-74	-40
11100	-56	-63	-47	-71	-38
11150	-52	-59	-45	-68	-37
11200	-49	-56	-43	-65	-35
11250	-46	-53	-40	-61	-33
11300	-44	-51	-38	-58	-31
11350	-41	-48	-35	-55	-28
11400	-38	-45	-33	-53	-26
11450	-35	-42	-30	-50	-23
11500	-33	-40	-28	-48	-21
11550	-30	-37	-25	-45	-17
11600	-28	-35	-22	-43	-14
11650	-25	-32	-19	-40	-11
11700	-23	-30	-16	-38	-8
11750	-20	-27	-12	-37	-5
11800	-17	-24	-9	-35	-2
11850	-14	-21	-6	-33	2
11900	-12	-19	-3	-31	6
11950	-9	-17	0	-30	9
12000	-6	-15	3	-29	12
12050	-5	-14	3	-27	13
12100	-6	-13	3	-25	12
12150	-6	-12	3	-24	12
12200	-5	-11	4	-22	12
12250	-4	-11	4	-21	12
12300	-2	-10	4	-20	11
12350	-2	-10	4	-19	11
12400	-2	-9	4	-18	11
12450	-2	-9	4	-17	11
12500	-2	-8	4	-15	12
12550	-1	-8	4	-15	12
12600	0	-7	5	-14	13
12650	0	-7	5	-14	13
12700	-1	-6	6	-13	14
12750	-1	-6	6	-13	14
12800	-1	-6	7	-13	15
12850	0	-6	7	-13	16
12900	1	-6	8	-12	18
12950	1	-6	9	-12	19
13000	1	-5	11	-12	21
13050	4	-3	13	-10	23
13100	7	-1	16	-8	26
13150	11	2	20	-7	30
13200	14	5	23	-6	34
13250	18	6	27	-5	39
13300	21	8	30	-4	43
13350	23	10	34	-3	48
13400	25	12	38	-2	53
13450	27	14	42	-2	58
13500	30	16	46	-1	63
13550	35	17	50	-1	68
13600	39	19	54	-1	73
13650	41	20	58	-1	78
13700	43	22	62	-1	83
13750	45	23	67	-1	88
13800	48	25	71	-1	93
